name,zip code tabulation area,zt36 d00,perimeter,lsad trans,zt36 d00 i,lsad,area,latitude,longitude,Total Population per ZIP Code
133HH,133HH,309,0.092467895,5-Digit ZCTA,308,Z5,0.000139441,43.9210875,-75.261961,
13327,13327,270,1.714130125,5-Digit ZCTA,269,Z5,0.033351853,43.9488885,-75.296656,2056
12936,12936,198,0.806949011,5-Digit ZCTA,197,Z5,0.009570854,44.256617,-73.402863,599
14058,14058,624,0.59850276,5-Digit ZCTA,623,Z5,0.011169536,43.107705,-78.160519,2285
11933,11933,2325,0.755580085,5-Digit ZCTA,2324,Z5,0.008918792,40.91855102,-72.7599185,6844
14212,14212,901,0.161265038,5-Digit ZCTA,900,Z5,0.000562304,42.894958,-78.818355,10641
13502,13502,687,0.313095939,5-Digit ZCTA,686,Z5,0.001810671,43.098669,-75.233308,33257
10171,10171,2051,0.004967846,5-Digit ZCTA,2050,Z5,1.26E-06,40.756091,-73.974032,
14727,14727,1286,1.686596441,5-Digit ZCTA,1285,Z5,0.031210744,42.223906,-78.289991,5450
13437,13437,369,1.046242534,5-Digit ZCTA,368,Z5,0.026141099,43.594632,-75.795674,
131HH,131HH,644,0.042205912,5-Digit ZCTA,643,Z5,0.000101796,43.1483195,-76.6898395,
126HH,126HH,1627,0.26068955,5-Digit ZCTA,1626,Z5,0.000550686,41.674993,-73.9441815,
13489,13489,433,0.611973416,5-Digit ZCTA,432,Z5,0.010812228,43.471241,-75.5257995,658
12845,12845,437,0.042692138,5-Digit ZCTA,436,Z5,4.66E-05,43.483717,-73.6551825,4842
121HH,121HH,1040,0.027222979,5-Digit ZCTA,1039,Z5,3.92E-05,42.7205525,-73.42869,
10916,10916,1700,0.529851108,5-Digit ZCTA,1699,Z5,0.005981947,41.4448125,-74.2508065,4540
11417,11417,2139,0.088801367,5-Digit ZCTA,2138,Z5,0.00030337,40.674876,-73.84666,28967
